@relation R_data_frame

@attribute Ventilation numeric
@attribute Duration numeric
@attribute Exposure numeric
@attribute outlier string

@data
1.006805,1.466337,133,no
0.454736,1.466337,98,no
0.454736,1.466337,138,no
1.006805,1.466337,265,no
1.006805,1.466337,135,no
1.006805,1.466337,245,no
0.454736,1.466337,95,no
0.454736,0.262364,226,no
0.454736,0.262364,59,no
0.454736,1.466337,30,no
1.006805,1.466337,214,no
0.454736,1.466337,235,no
1.006805,1.466337,137,no
1.006805,1.466337,123,no
1.006805,1.466337,75,no
1.006805,1.466337,185,no
0.454736,1.466337,30,no
1.006805,1.466337,138,no
1.006805,1.466337,205,no
0.454736,0.262364,103,no
0.454736,1.466337,141,no
0.454736,0.262364,92,no
1.006805,1.466337,210,no
1.006805,1.466337,210,no
1.006805,1.466337,155,no
0.454736,1.466337,100,no
1.006805,0.262364,253,no
1.006805,1.466337,174,no
1.006805,1.466337,81,no
1.006805,1.466337,269,no
1.006805,1.466337,245,no
0.454736,1.466337,300,no
1.006805,1.466337,230,no
1.006805,1.466337,78,no
1.006805,1.466337,42,no
1.006805,0.262364,258,no
1.006805,0.262364,207,no
1.006805,0.262364,30,no
1.006805,1.466337,230,no
1.006805,1.466337,235,no
0.454736,1.466337,30,no
1.006805,1.466337,211,no
1.006805,1.466337,210,no
1.006805,1.466337,155,no
0.454736,1.466337,130,no
1.006805,1.466337,215,no
1.006805,1.466337,260,no
0.454736,0.262364,184,no
0.454736,0.262364,79,no
1.006805,1.466337,247,no
0.454736,0.262364,101,yes
0.454736,0.262364,145,yes
