@relation R_data_frame

@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 numeric
@attribute V9 numeric
@attribute V10 numeric
@attribute V11 numeric
@attribute V12 numeric
@attribute V13 numeric
@attribute V14 numeric
@attribute outlier string

@data
1.101812,2167,115,1.896056,5,3,0,2.413999,1.12123,11,0.640258,2.973614,0,1,no
0.403869,2017,817,0.170254,6,4,196,2.413999,1.12123,14,0.748991,2.973614,60,159,no
1.101812,1583,585,0.170254,8,8,15,2.413999,1.12123,2,0.748991,2.973614,100,1,no
1.101812,5867,446,0.170254,11,8,304,2.413999,1.12123,6,0.748991,2.973614,43,561,no
0.403869,335,175,0.170254,14,8,45,2.413999,1.12123,4,0.640258,2.973614,253,858,no
0.403869,4142,5,0.170254,11,8,5,2.413999,1.12123,6,0.640258,2.973614,470,1,no
0.403869,3492,5,0.170254,14,8,75,2.413999,1.12123,6,0.640258,2.973614,0,1001,no
0.403869,4808,604,0.170254,4,4,4,0.093714,0.394345,0,0.748991,2.973614,0,2691,no
0.403869,2958,45,0.170254,9,4,75,2.413999,1.12123,2,0.640258,2.973614,330,1,no
1.101812,1892,9,0.170254,6,4,75,2.413999,1.12123,2,0.748991,2.973614,88,592,no
1.101812,2242,5665,0.170254,11,4,2585,2.413999,1.12123,7,0.748991,2.973614,129,3258,no
0.403869,3275,15,0.170254,13,8,55,2.413999,1.12123,3,0.640258,2.973614,0,1,no
0.403869,3317,304,1.896056,8,8,204,2.413999,1.12123,1,0.640258,2.973614,180,18028,no
1.101812,3067,12,0.170254,8,4,2,2.413999,1.12123,1,0.748991,2.973614,220,20,no
0.403869,2308,25,0.170254,8,4,1085,2.413999,1.12123,11,0.640258,2.973614,60,2185,no
0.403869,27,75,0.170254,8,8,425,2.413999,1.12123,3,0.640258,2.973614,312,151,no
0.403869,2308,115,0.170254,9,8,2125,2.413999,1.12123,11,0.640258,2.973614,290,285,no
0.403869,25,125,0.170254,6,4,3,2.413999,0.394345,0,0.640258,0.069449,20,1,no
0.403869,3958,13915,0.170254,9,4,8625,2.413999,1.12123,6,0.640258,2.973614,70,1,no
1.101812,4775,8,0.170254,8,4,7875,2.413999,1.12123,6,0.640258,2.973614,0,1261,no
1.101812,4742,3,0.170254,14,4,13875,2.413999,1.12123,2,0.640258,2.973614,519,1705,no
0.403869,2317,0,0.170254,13,4,85,2.413999,0.394345,0,0.748991,2.973614,0,1,no
0.403869,2675,1125,0.170254,14,8,125,2.413999,0.394345,0,0.748991,2.973614,0,5299,no
1.101812,2075,1025,0.170254,11,4,71,2.413999,1.12123,2,0.640258,2.973614,49,1,no
0.403869,1617,4,0.170254,8,4,4,0.093714,0.394345,0,0.748991,2.973614,0,1,no
1.101812,5283,15,0.170254,8,4,55,2.413999,1.12123,14,0.748991,2.973614,0,2201,no
0.403869,2783,15,0.170254,9,4,2,2.413999,1.12123,11,0.640258,2.973614,434,36,no
0.403869,40,65,0.170254,6,5,35,2.413999,1.12123,1,0.748991,2.973614,0,501,no
0.403869,425,4915,1.896056,9,4,3165,2.413999,0.394345,0,0.640258,2.973614,52,1443,no
0.403869,5675,1225,0.170254,7,4,125,2.413999,1.12123,4,0.640258,2.973614,200,1,no
0.403869,185,2,0.170254,3,4,15,2.413999,1.12123,2,0.748991,2.973614,120,301,no
1.101812,245,5,0.170254,11,8,15,2.413999,0.394345,0,0.748991,2.973614,280,825,no
0.403869,42,979,0.170254,14,8,796,2.413999,1.12123,8,0.748991,2.973614,0,1,no
0.403869,2725,1585,0.170254,13,8,1835,2.413999,1.12123,12,0.640258,2.973614,583,714,no
0.403869,2825,504,1.896056,8,5,15,2.413999,1.12123,8,0.640258,2.973614,144,8,no
0.403869,4025,215,0.170254,10,9,20,2.413999,1.12123,11,0.748991,2.973614,0,1201,no
1.101812,3217,146,0.170254,9,4,1085,2.413999,1.12123,16,0.748991,2.973614,120,2080,no
0.403869,2517,35,0.170254,13,4,625,2.413999,1.12123,7,0.748991,2.973614,0,7060,no
0.403869,3758,0,0.170254,8,4,0,0.093714,0.394345,0,0.748991,4.136765,184,1,no
1.101812,47,13,0.170254,3,5,5165,2.413999,1.12123,9,0.640258,2.973614,0,1,no
0.403869,3417,525,0.170254,9,4,85,0.093714,0.394345,0,0.640258,2.973614,290,7,no
0.403869,3625,5,0.170254,8,5,25,2.413999,1.12123,6,0.748991,2.973614,0,368,no
0.403869,2125,15,0.170254,9,4,15,0.093714,0.394345,0,0.748991,2.973614,150,9,no
1.101812,2042,835,0.170254,11,4,1585,2.413999,1.12123,1,0.748991,2.973614,0,1,no
0.403869,3867,21,0.170254,4,4,85,2.413999,0.394345,0,0.640258,2.973614,280,1,no
0.403869,2767,1375,0.170254,9,4,575,2.413999,0.394345,0,0.640258,2.973614,487,501,no
0.403869,2775,585,1.896056,13,4,25,2.413999,1.12123,2,0.748991,2.973614,260,501,no
1.101812,25,875,0.170254,14,8,104,2.413999,0.394345,0,0.640258,2.973614,160,5861,no
0.403869,2767,2,0.170254,14,8,1,2.413999,1.12123,4,0.748991,2.973614,140,7545,no
1.101812,4983,13585,0.170254,4,8,85,2.413999,0.394345,0,0.640258,2.973614,0,1,no
1.101812,3575,915,0.170254,6,4,75,2.413999,1.12123,4,0.748991,2.973614,0,1584,no
0.403869,3408,8,1.896056,7,5,4,2.413999,1.12123,1,0.640258,2.973614,280,2001,no
1.101812,2075,10335,0.170254,13,8,335,2.413999,1.12123,1,0.640258,2.973614,80,51,no
0.403869,3317,1,0.170254,14,4,75,2.413999,1.12123,7,0.640258,2.973614,340,4072,no
0.403869,2275,11,0.170254,11,4,25,2.413999,1.12123,7,0.640258,2.973614,100,810,no
0.403869,4875,85,0.170254,8,8,125,2.413999,1.12123,9,0.748991,2.973614,181,1656,no
0.403869,4058,5,0.170254,8,4,5,2.413999,1.12123,7,0.748991,2.973614,0,3066,no
1.101812,5708,195,0.170254,8,4,55,2.413999,1.12123,7,0.748991,2.973614,0,3001,no
1.101812,3125,375,0.170254,13,8,625,2.413999,1.12123,9,0.640258,2.973614,181,1,no
1.101812,5833,10,0.170254,11,4,4,2.413999,1.12123,14,0.748991,2.973614,0,1603,no
1.101812,46,4,0.170254,5,3,0,2.413999,0.394345,0,0.748991,2.973614,100,961,no
0.403869,21,3,1.896056,2,4,1085,2.413999,1.12123,8,0.640258,2.973614,160,2,no
1.101812,2475,125,0.170254,6,4,15,2.413999,1.12123,12,0.640258,2.973614,120,568,no
0.403869,3925,95,0.170254,7,4,65,2.413999,1.12123,14,0.748991,2.973614,240,4608,no
0.403869,2575,5,0.170254,8,4,146,2.413999,1.12123,5,0.640258,2.973614,312,1,no
1.101812,4608,3,0.170254,8,4,2375,2.413999,1.12123,8,0.640258,2.973614,396,4160,no
0.403869,6408,20,0.170254,14,8,175,2.413999,1.12123,9,0.640258,2.973614,0,1001,no
